title,year,duration,genre,rating,rating_description,movie_url,User_Agent
Rebecca ,1940,2h 10min,Drama,8.1,"8.1 based on 123,598 user ratings",https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Wages of Fear ,1953,2h 11min,Adventure,8.1,"8.1 based on 54,416 user ratings",https://www.imdb.com/title/tt0046268/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Bridge on the River Kwai ,1957,2h 41min,Adventure,8.1,"8.1 based on 203,021 user ratings",https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
On the Waterfront ,1954,1h 48min,Crime,8.1,"8.1 based on 141,725 user ratings",https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Andrei Rublev ,1966,3h 25min,Biography,8.1,"8.1 based on 46,695 user ratings",https://www.imdb.com/title/tt0060107/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The 400 Blows ,1959,1h 39min,Crime,8.1,"8.1 based on 104,896 user ratings",https://www.imdb.com/title/tt0053198/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Battle of Algiers ,1966,2h 1min,Drama,8.1,"8.1 based on 52,868 user ratings",https://www.imdb.com/title/tt0058946/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Persona ,1966,1h 23min,Drama,8.1,"8.1 based on 102,691 user ratings",https://www.imdb.com/title/tt0060827/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Cool Hand Luke ,1967,2h 7min,Crime,8.1,"8.1 based on 161,507 user ratings",https://www.imdb.com/title/tt0061512/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Elephant Man ,1980,2h 4min,Biography,8.1,"8.1 based on 219,434 user ratings",https://www.imdb.com/title/tt0080678/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Chinatown ,1974,2h 10min,Drama,8.1,"8.1 based on 293,372 user ratings",https://www.imdb.com/title/tt0071315/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Network ,1976,2h 1min,Drama,8.1,"8.1 based on 144,591 user ratings",https://www.imdb.com/title/tt0074958/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
"Paris, Texas ",1984,2h 25min,Drama,8.1,"8.1 based on 90,654 user ratings",https://www.imdb.com/title/tt0087884/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Deer Hunter ,1978,3h 3min,Drama,8.1,"8.1 based on 310,605 user ratings",https://www.imdb.com/title/tt0077416/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Ben-Hur ,1959,3h 32min,Adventure,8.1,"8.1 based on 218,984 user ratings",https://www.imdb.com/title/tt0052618/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Dead Poets Society ,1989,2h 8min,Comedy,8.1,"8.1 based on 423,770 user ratings",https://www.imdb.com/title/tt0097165/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Barry Lyndon ,1975,3h 5min,Adventure,8.1,"8.1 based on 149,298 user ratings",https://www.imdb.com/title/tt0072684/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Stand by Me ,1986,1h 29min,Adventure,8.1,"8.1 based on 362,575 user ratings",https://www.imdb.com/title/tt0092005/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
In the Name of the Father ,1993,2h 13min,Biography,8.1,"8.1 based on 156,389 user ratings",https://www.imdb.com/title/tt0107207/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Before Sunrise ,1995,1h 41min,Drama,8.1,"8.1 based on 271,175 user ratings",https://www.imdb.com/title/tt0112471/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Platoon ,1986,2h,Drama,8.1,"8.1 based on 380,364 user ratings",https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Rocky ,1976,2h,Drama,8.1,"8.1 based on 517,170 user ratings",https://www.imdb.com/title/tt0075148/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Trainspotting ,1996,1h 33min,Drama,8.1,"8.1 based on 633,433 user ratings",https://www.imdb.com/title/tt0117951/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Truman Show ,1998,1h 43min,Comedy,8.1,"8.1 based on 936,267 user ratings",https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
In the Mood for Love ,2000,1h 38min,Drama,8.1,"8.1 based on 123,810 user ratings",https://www.imdb.com/title/tt0118694/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Neon Genesis Evangelion: The End of Evangelion ,1997,1h 27min,Animation,8.1,"8.1 based on 38,555 user ratings",https://www.imdb.com/title/tt0169858/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Sixth Sense ,1999,1h 47min,Drama,8.1,"8.1 based on 909,819 user ratings",https://www.imdb.com/title/tt0167404/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Amores Perros ,2000,2h 34min,Drama,8.1,"8.1 based on 223,211 user ratings",https://www.imdb.com/title/tt0245712/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Catch Me If You Can ,2002,2h 21min,Biography,8.1,"8.1 based on 827,704 user ratings",https://www.imdb.com/title/tt0264464/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Kill Bill: Vol. 1 ,2003,1h 51min,Action,8.1,"8.1 based on 997,937 user ratings",https://www.imdb.com/title/tt0266697/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
La Haine ,1995,1h 38min,Crime,8.1,"8.1 based on 149,687 user ratings",https://www.imdb.com/title/tt0113247/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Hacksaw Ridge ,2016,2h 19min,Biography,8.1,"8.1 based on 433,855 user ratings",https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Gone Girl ,2014,2h 29min,Drama,8.1,"8.1 based on 856,736 user ratings",https://www.imdb.com/title/tt2267998/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Room ,2015,1h 58min,Drama,8.1,"8.1 based on 369,769 user ratings",https://www.imdb.com/title/tt3170832/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Fargo ,1996,1h 38min,Crime,8.1,"8.1 based on 615,855 user ratings",https://www.imdb.com/title/tt0116282/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Wild Tales ,2014,2h 2min,Comedy,8.1,"8.1 based on 176,394 user ratings",https://www.imdb.com/title/tt3011894/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
Logan ,2017,2h 17min,Action,8.1,"8.1 based on 645,751 user ratings",https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
The Handmaiden ,2016,2h 25min,Drama,8.1,"8.1 based on 112,613 user ratings",https://www.imdb.com/title/tt4016934/?ref_=adv_li_tt,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
